id,geo_point_2d,geo_shape,clave_cat,delegacion,perimetro,tipo,nom_id
216,"19.4247697438,-99.1249707246","{""type"": ""Polygon"", ""coordinates"": [[[-99.12506909410375, 19.424287842761057], [-99.12519163860148, 19.424305723974378], [-99.12519592134765, 19.42430777485581], [-99.12519637821123, 19.424307847203643], [-99.12519003476312, 19.42436178431606], [-99.12518578034182, 19.424398022327185], [-99.12517233984472, 19.42451229892854], [-99.12517076589609, 19.424525708708103], [-99.12511933923548, 19.424521073349275], [-99.12511716550435, 19.42453495257134], [-99.12511356166122, 19.42455806053138], [-99.12509304458828, 19.424689366829387], [-99.12510980591617, 19.424691592155526], [-99.12510980591617, 19.424691592155526], [-99.12509572577068, 19.424813074856942], [-99.12513693950366, 19.42481681387026], [-99.12512720663541, 19.425172699581072], [-99.12512561706559, 19.42517267212512], [-99.12512408559552, 19.425243433962198], [-99.12498682433977, 19.42522780691742], [-99.12480455222135, 19.425205369478313], [-99.12474126651554, 19.425196396680363], [-99.12487632604089, 19.42425844054186], [-99.12506909410375, 19.424287842761057]]]}",323_118_37,Venustiano Carranza,B,Mercado,Lamininas de La Merced
217,"19.4362953518,-99.1507412122","{""type"": ""MultiPoint"", ""coordinates"": [[-99.15074121218733, 19.436295351789028]]}",011_265_07,Cuautémoc,B,Hotel,"Suites DF, S. DE R.L. DE C.V."
218,"19.4289336971,-99.145931033","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14593103303795, 19.42893369708718]]}",002_067_02,Cuautémoc,B,Hotel,Bets Western Estoril
219,"19.4234096295,-99.1438351156","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14383511564554, 19.42340962947213]]}",002_118_03,Cuautémoc,B,Hotel,Prado Floresta
220,"19.4331382067,-99.125997696","{""type"": ""MultiPoint"", ""coordinates"": [[-99.12599769596785, 19.433138206731265]]}",006_008_08,Cuautémoc,A,Hotel,México Nuevo
221,"19.4386933829,-99.1481075783","{""type"": ""MultiPoint"", ""coordinates"": [[-99.1481075782582, 19.43869338292016]]}",003_103_26,Cuautémoc,A,Hotel,San Fernando
222,"19.4397905042,-99.134628735","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13462873503441, 19.439790504237568]]}",004_063_10,Cuautémoc,A,Hotel,Ladero
223,"19.4285106481,-99.1367967407","{""type"": ""MultiPoint"", ""coordinates"": [[-99.1367967406847, 19.428510648062776]]}",001_055_10,Cuautémoc,A,Hotel,Niza
224,"19.4238397797,-99.1371356587","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13713565868859, 19.423839779749827]]}",001_109_11,Cuautémoc,B,Hotel,"Costa Azul, SA DE CV"
225,"19.43094655,-99.12455418","{""type"": ""MultiPoint"", ""coordinates"": [[-99.12455417999998, 19.43094655]]}",323_027_04,Venustiano Carranza,B,Hotel,Gran Veracruz
226,"19.4416748524,-99.1365878489","{""type"": ""Polygon"", ""coordinates"": [[[-99.13701280947748, 19.441947257278443], [-99.13692761223277, 19.44193982029736], [-99.13675275351575, 19.441923067157838], [-99.1366243867982, 19.44191043041214], [-99.13649103182055, 19.441898424868985], [-99.13634112306686, 19.441884113703367], [-99.13622464571006, 19.441873736266235], [-99.13609887798128, 19.44186048552288], [-99.1361238228434, 19.441636283558573], [-99.1361239920988, 19.441596766659554], [-99.13613679772662, 19.44148441287865], [-99.1361458655975, 19.441404802609945], [-99.13709307386698, 19.441493954578355], [-99.1370888869744, 19.441537290670073], [-99.13708376697522, 19.44158175540555], [-99.13707084245385, 19.44167095534667], [-99.13706947879064, 19.44168408529048], [-99.13706526385033, 19.44172455874661], [-99.13703729629508, 19.441722386868978], [-99.13701280947748, 19.441947257278443]]]}",004_052_01,Cuauhtémoc,B,Mercado,De Muebles
227,"19.4307201342,-99.1491381087","{""type"": ""Polygon"", ""coordinates"": [[[-99.14987966987799, 19.431194462027957], [-99.14824912210523, 19.430952314686195], [-99.14839033611996, 19.430250740061723], [-99.14887065274628, 19.43031813698765], [-99.14912730214597, 19.43035414836875], [-99.14940318858544, 19.43039408043065], [-99.14963120620223, 19.43042708122351], [-99.15002595150646, 19.430484217459806], [-99.1500078282732, 19.430572198866514], [-99.14999350490376, 19.43064174959806], [-99.14994442060492, 19.430880093132924], [-99.14987966987799, 19.431194462027957]]]}",002_052_02,Cuauhtémoc,B,Mercado,Artesanías Ciudadela
228,"19.4406567734,-99.1394531646","{""type"": ""MultiPoint"", ""coordinates"": [[-99.1394531646438, 19.440656773358118]]}",004_069_01,Cuautémoc,B,Museo,Tequila y Mescal
229,"19.4346765421,-99.1318394918","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13183949184467, 19.434676542124407]]}",005_145_14,Cuautémoc,A,Museo,Templo Mayor
